Datum,Zurich
10.11.2015,0.0
11.11.2015,0.0
12.11.2015,0.0
13.11.2015,0.0
14.11.2015,1.6
15.11.2015,0.0
16.11.2015,0.0
17.11.2015,0.0
18.11.2015,0.0
19.11.2015,0.1
20.11.2015,33.6
21.11.2015,5.8
22.11.2015,0.5
23.11.2015,0.0
24.11.2015,0.0
25.11.2015,6.0
26.11.2015,3.5
27.11.2015,0.0
28.11.2015,0.9
29.11.2015,4.4
30.11.2015,0.0
01.12.2015,0.0
02.12.2015,0.0
03.12.2015,0.0
04.12.2015,0.3
05.12.2015,0.0
06.12.2015,0.0
07.12.2015,0.0
08.12.2015,0.0
09.12.2015,4.7
10.12.2015,0.0
11.12.2015,0.0
12.12.2015,0.0
13.12.2015,0.0
14.12.2015,0.0
15.12.2015,0.0
16.12.2015,2.3
17.12.2015,0.0
18.12.2015,0.1
19.12.2015,0.0
20.12.2015,0.0
21.12.2015,0.9
22.12.2015,0.0
23.12.2015,0.0
24.12.2015,0.0
25.12.2015,0.0
26.12.2015,0.0
27.12.2015,0.0
28.12.2015,0.0
29.12.2015,0.0
30.12.2015,0.0
31.12.2015,0.6
01.01.2016,0.2
02.01.2016,7.6
03.01.2016,0.0
04.01.2016,17.3
05.01.2016,0.9
06.01.2016,3.4
07.01.2016,17.5
08.01.2016,14.9
09.01.2016,13.0
10.01.2016,14.8
11.01.2016,14.0
12.01.2016,5.8
13.01.2016,6.8
14.01.2016,1.0
15.01.2016,2.9
16.01.2016,0.2
17.01.2016,2.1
18.01.2016,0.0
19.01.2016,0.9
20.01.2016,1.0
21.01.2016,0.0
22.01.2016,0.0
23.01.2016,0.4
24.01.2016,0.0
25.01.2016,0.0
26.01.2016,0.0
27.01.2016,0.0
28.01.2016,0.0
29.01.2016,0.2
30.01.2016,4.5
31.01.2016,25.1
01.02.2016,1.6
02.02.2016,0.0
03.02.2016,10.7
04.02.2016,1.3
05.02.2016,0.3
06.02.2016,0.0
07.02.2016,0.4
08.02.2016,2.8
09.02.2016,9.8
10.02.2016,3.1
11.02.2016,0.0
12.02.2016,1.4
13.02.2016,5.6
14.02.2016,5.0
15.02.2016,0.6
16.02.2016,0.4
17.02.2016,0.0
18.02.2016,0.0
19.02.2016,0.4
20.02.2016,12.6
21.02.2016,0.0
22.02.2016,0.2
23.02.2016,4.4
24.02.2016,4.5
25.02.2016,8.5
26.02.2016,0.0
27.02.2016,0.0
28.02.2016,0.0
29.02.2016,4.6
01.03.2016,2.6
02.03.2016,8.1
03.03.2016,3.4
04.03.2016,0.0
05.03.2016,10.5
06.03.2016,0.1
07.03.2016,0.0
08.03.2016,8.3
09.03.2016,0.0
10.03.2016,0.0
11.03.2016,0.0
12.03.2016,0.0
13.03.2016,0.0
14.03.2016,0.0
15.03.2016,0.6
16.03.2016,0.0
17.03.2016,0.0
18.03.2016,0.0
19.03.2016,0.0
20.03.2016,0.0
21.03.2016,0.0
22.03.2016,0.0
23.03.2016,0.1
24.03.2016,0.0
25.03.2016,3.7
26.03.2016,1.5
27.03.2016,0.0
28.03.2016,0.2
29.03.2016,0.4
30.03.2016,0.0
31.03.2016,0.0
01.04.2016,0.0
02.04.2016,0.0
03.04.2016,0.0
04.04.2016,0.0
05.04.2016,2.1
06.04.2016,7.8
07.04.2016,0.1
08.04.2016,5.1
09.04.2016,0.1
10.04.2016,0.0
11.04.2016,0.0
12.04.2016,4.2
13.04.2016,5.9
14.04.2016,3.4
15.04.2016,2.5
16.04.2016,4.4
17.04.2016,18.7
18.04.2016,14.0
19.04.2016,0.0
20.04.2016,0.0
21.04.2016,0.0
22.04.2016,0.0
23.04.2016,20.0
24.04.2016,3.7
25.04.2016,0.4
26.04.2016,6.6
27.04.2016,
28.04.2016,0.0
29.04.2016,0.0
30.04.2016,1.4
01.05.2016,14.9
02.05.2016,0.2
03.05.2016,2.1
04.05.2016,0.0
05.05.2016,0.0
06.05.2016,0.0
07.05.2016,0.0
08.05.2016,0.0
09.05.2016,0.0
10.05.2016,0.0
11.05.2016,0.0
12.05.2016,32.8
13.05.2016,25.1
14.05.2016,22.0
15.05.2016,0.0
16.05.2016,2.2
17.05.2016,0.5
18.05.2016,7.3
19.05.2016,9.1
20.05.2016,0.0
21.05.2016,0.0
22.05.2016,0.0
23.05.2016,18.3
24.05.2016,2.8
25.05.2016,0.0
26.05.2016,0.0
27.05.2016,0.0
28.05.2016,1.6
29.05.2016,9.1
30.05.2016,0.4
31.05.2016,0.0
01.06.2016,5.9
02.06.2016,0.5
03.06.2016,6.7
04.06.2016,0.4
05.06.2016,20.8
06.06.2016,0.0
07.06.2016,0.0
08.06.2016,28.5
09.06.2016,8.9
10.06.2016,0.0
11.06.2016,13.0
12.06.2016,4.2
13.06.2016,16.2
14.06.2016,6.0
15.06.2016,1.4
16.06.2016,29.1
17.06.2016,12.0
18.06.2016,3.4
19.06.2016,10.7
20.06.2016,0
